"year","round","date","time","region","venue","hteam","ateam","hscore","ascore","is_grand_final","is_final","home_win","hdiff"
2012,1,2012-03-31,"16:45:00","WA","Subiaco","Fremantle","Geelong",105,101,0,0,1,4
2012,1,2012-03-31,"15:45:00","QLD","Carrara","Gold Coast","Adelaide",68,137,0,0,0,-69
2012,1,2012-03-24,"19:20:00","NSW","Stadium Australia","Greater Western Sydney","Sydney",37,100,0,0,0,-63
2012,1,2012-03-30,"19:50:00","VIC","M.C.G.","Hawthorn","Collingwood",137,115,0,0,1,22
2012,1,2012-03-31,"13:45:00","VIC","M.C.G.","Melbourne","Brisbane Lions",78,119,0,0,0,-41
2012,1,2012-03-31,"19:45:00","VIC","Docklands","North Melbourne","Essendon",102,104,0,0,0,-2
2012,1,2012-04-01,"16:10:00","SA","Football Park","Port Adelaide","St Kilda",89,85,0,0,1,4
2012,1,2012-03-29,"19:45:00","VIC","M.C.G.","Richmond","Carlton",81,125,0,0,0,-44
2012,1,2012-04-01,"13:10:00","VIC","Docklands","Western Bulldogs","West Coast",87,136,0,0,0,-49
2012,2,2012-04-07,"19:10:00","SA","Football Park","Adelaide","Western Bulldogs",82,64,0,0,1,18
2012,2,2012-04-05,"19:40:00","QLD","Gabba","Brisbane Lions","Carlton",63,154,0,0,0,-91
2012,2,2012-04-07,"19:40:00","VIC","M.C.G.","Collingwood","Richmond",85,64,0,0,1,21
2012,2,2012-04-07,"13:45:00","VIC","Docklands","Essendon","Port Adelaide",111,86,0,0,1,25
2012,2,2012-04-09,"15:10:00","VIC","M.C.G.","Geelong","Hawthorn",92,90,0,0,1,2
2012,2,2012-04-08,"13:10:00","TAS","Bellerive Oval","North Melbourne","Greater Western Sydney",183,54,0,0,1,129
2012,2,2012-04-08,"16:40:00","VIC","Docklands","St Kilda","Gold Coast",139,47,0,0,1,92
2012,2,2012-04-07,"14:10:00","NSW","S.C.G.","Sydney","Fremantle",94,81,0,0,1,13
2012,2,2012-04-07,"14:40:00","WA","Subiaco","West Coast","Melbourne",166,58,0,0,1,108
2012,3,2012-04-13,"19:50:00","VIC","M.C.G.","Carlton","Collingwood",122,62,0,0,1,60
2012,3,2012-04-14,"14:40:00","WA","Subiaco","Fremantle","Brisbane Lions",64,35,0,0,1,29
2012,3,2012-04-14,"19:40:00","QLD","Carrara","Gold Coast","Essendon",88,105,0,0,0,-17
2012,3,2012-04-15,"13:10:00","NSW","Blacktown","Greater Western Sydney","West Coast",69,150,0,0,0,-81
2012,3,2012-04-15,"15:15:00","VIC","M.C.G.","Hawthorn","Adelaide",140,84,0,0,1,56
2012,3,2012-04-15,"16:40:00","VIC","Docklands","North Melbourne","Geelong",131,114,0,0,1,17
2012,3,2012-04-14,"13:40:00","SA","Football Park","Port Adelaide","Sydney",83,105,0,0,0,-22
2012,3,2012-04-14,"13:45:00","VIC","M.C.G.","Richmond","Melbourne",133,74,0,0,1,59
2012,3,2012-04-14,"19:40:00","VIC","Docklands","Western Bulldogs","St Kilda",40,103,0,0,0,-63
2012,4,2012-04-21,"16:10:00","SA","Football Park","Adelaide","Greater Western Sydney",96,50,0,0,1,46
2012,4,2012-04-21,"19:40:00","QLD","Gabba","Brisbane Lions","Gold Coast",111,46,0,0,1,65
2012,4,2012-04-21,"13:45:00","VIC","M.C.G.","Carlton","Essendon",79,109,0,0,0,-30
2012,4,2012-04-21,"14:10:00","VIC","Docklands","Collingwood","Port Adelaide",97,73,0,0,1,24
2012,4,2012-04-22,"13:10:00","VIC","GMHBA Stadium","Geelong","Richmond",75,65,0,0,1,10
2012,4,2012-04-22,"16:40:00","VIC","M.C.G.","Melbourne","Western Bulldogs",67,88,0,0,0,-21
2012,4,2012-04-20,"19:50:00","VIC","Docklands","St Kilda","Fremantle",79,92,0,0,0,-13
2012,4,2012-04-22,"15:15:00","NSW","S.C.G.","Sydney","North Melbourne",113,77,0,0,1,36
