"year","round","date","time","region","venue","hteam","ateam","hscore","ascore"
2017,1,2017-03-26,"14:50:00","SA","Adelaide Oval","Adelaide","Greater Western Sydney",147,91
2017,1,2017-03-23,"19:20:00","VIC","M.C.G.","Carlton","Richmond",89,132
2017,1,2017-03-24,"19:50:00","VIC","M.C.G.","Collingwood","Western Bulldogs",86,100
2017,1,2017-03-25,"19:25:00","VIC","M.C.G.","Essendon","Hawthorn",116,91
2017,1,2017-03-26,"16:40:00","WA","Subiaco","Fremantle","Geelong",73,115
2017,1,2017-03-25,"19:05:00","QLD","Carrara","Gold Coast","Brisbane Lions",96,98
2017,1,2017-03-26,"13:10:00","VIC","Docklands","North Melbourne","West Coast",93,136
2017,1,2017-03-25,"16:35:00","VIC","Docklands","St Kilda","Melbourne",90,120
2017,1,2017-03-25,"16:35:00","NSW","S.C.G.","Sydney","Port Adelaide",82,110
2017,2,2017-04-01,"18:25:00","QLD","Gabba","Brisbane Lions","Essendon",84,111
2017,2,2017-04-02,"13:10:00","VIC","Docklands","Geelong","North Melbourne",112,111
2017,2,2017-04-01,"16:35:00","NSW","Sydney Showground","Greater Western Sydney","Gold Coast",160,58
2017,2,2017-04-01,"13:45:00","VIC","M.C.G.","Hawthorn","Adelaide",89,113
2017,2,2017-04-02,"15:20:00","VIC","M.C.G.","Melbourne","Carlton",86,64
2017,2,2017-04-02,"16:10:00","SA","Adelaide Oval","Port Adelaide","Fremantle",145,56
2017,2,2017-03-30,"19:20:00","VIC","M.C.G.","Richmond","Collingwood",99,80
2017,2,2017-04-01,"16:40:00","WA","Subiaco","West Coast","St Kilda",116,97
2017,2,2017-03-31,"19:50:00","VIC","Docklands","Western Bulldogs","Sydney",110,87
2017,3,2017-04-09,"15:20:00","VIC","M.C.G.","Carlton","Essendon",57,42
2017,3,2017-04-08,"17:40:00","WA","Subiaco","Fremantle","Western Bulldogs",89,73
2017,3,2017-04-08,"16:35:00","VIC","Docklands","Geelong","Melbourne",126,97
2017,3,2017-04-09,"16:40:00","QLD","Carrara","Gold Coast","Hawthorn",139,53
2017,3,2017-04-08,"13:45:00","TAS","Bellerive Oval","North Melbourne","Greater Western Sydney",67,109
2017,3,2017-04-08,"19:10:00","SA","Adelaide Oval","Port Adelaide","Adelaide",83,100
2017,3,2017-04-08,"14:10:00","VIC","M.C.G.","Richmond","West Coast",76,65
2017,3,2017-04-09,"13:10:00","VIC","Docklands","St Kilda","Brisbane Lions",107,76
2017,3,2017-04-07,"19:50:00","NSW","S.C.G.","Sydney","Collingwood",79,80
2017,4,2017-04-15,"19:10:00","SA","Adelaide Oval","Adelaide","Essendon",153,88
2017,4,2017-04-16,"16:40:00","QLD","Gabba","Brisbane Lions","Richmond",67,119
2017,4,2017-04-15,"19:25:00","VIC","Docklands","Carlton","Gold Coast",82,108
2017,4,2017-04-16,"15:20:00","VIC","Docklands","Collingwood","St Kilda",55,69
2017,4,2017-04-15,"16:35:00","ACT","UNSW Canberra Oval","Greater Western Sydney","Port Adelaide",112,81
2017,4,2017-04-17,"15:20:00","VIC","M.C.G.","Hawthorn","Geelong",48,134
2017,4,2017-04-15,"13:45:00","VIC","M.C.G.","Melbourne","Fremantle",104,106
2017,4,2017-04-14,"16:20:00","VIC","Docklands","North Melbourne","Western Bulldogs",86,89
2017,4,2017-04-13,"18:10:00","WA","Subiaco","West Coast","Sydney",91,65
2017,5,2017-04-25,"15:20:00","VIC","M.C.G.","Essendon","Collingwood",100,82
2017,5,2017-04-22,"17:40:00","WA","Subiaco","Fremantle","North Melbourne",67,62
2017,5,2017-04-22,"16:35:00","QLD","Carrara","Gold Coast","Adelaide",86,153
2017,5,2017-04-23,"16:40:00","VIC","M.C.G.","Hawthorn","West Coast",125,75
2017,5,2017-04-21,"19:20:00","SA","Adelaide Oval","Port Adelaide","Carlton",137,47
2017,5,2017-04-24,"19:25:00","VIC","M.C.G.","Richmond","Melbourne",88,75
